team,season,program,team_number,team_letter
62961X,2024-2025,V5RC,62961,X
6603A,2024-2025,V5RC,6603,A
6603B,2024-2025,V5RC,6603,B
6603C,2024-2025,V5RC,6603,C
6603T,2024-2025,V5RC,6603,T
2072X,2024-2025,V5RC,2072,X
61111A,2024-2025,V5RC,61111,A
54045Z,2024-2025,V5RC,54045,Z
80708Y,2024-2025,V5RC,80708,Y
2072C,2024-2025,V5RC,2072,C
2072Y,2024-2025,V5RC,2072,Y
23692A,2024-2025,V5RC,23692,A
2072Z,2024-2025,V5RC,2072,Z
17230C,2024-2025,V5RC,17230,C
17230H,2024-2025,V5RC,17230,H
17230R,2024-2025,V5RC,17230,R
99909A,2024-2025,V5RC,99909,A
50878X,2024-2025,V5RC,50878,X
2145Z,2024-2025,V5RC,2145,Z
99157B,2024-2025,V5RC,99157,B
50805H,2024-2025,V5RC,50805,H
50805A,2024-2025,V5RC,50805,A
2072U,2024-2025,V5RC,2072,U
2072A,2024-2025,V5RC,2072,A
80208K,2024-2025,V5RC,80208,K
2509A,2024-2025,V5RC,2509,A
20164J,2024-2025,V5RC,20164,J
20164M,2024-2025,V5RC,20164,M
20164T,2024-2025,V5RC,20164,T
20164U,2024-2025,V5RC,20164,U
20164V,2024-2025,V5RC,20164,V
20164W,2024-2025,V5RC,20164,W
20164X,2024-2025,V5RC,20164,X
20164Z,2024-2025,V5RC,20164,Z
20164B,2024-2025,V5RC,20164,B
4303A,2024-2025,V5RC,4303,A
4303B,2024-2025,V5RC,4303,B
4303C,2024-2025,V5RC,4303,C
4303D,2024-2025,V5RC,4303,D
4303X,2024-2025,V5RC,4303,X
4303Z,2024-2025,V5RC,4303,Z
12A,2024-2025,V5RC,12,A
12C,2024-2025,V5RC,12,C
12D,2024-2025,V5RC,12,D
12E,2024-2025,V5RC,12,E
12G,2024-2025,V5RC,12,G
12Y,2024-2025,V5RC,12,Y
12Z,2024-2025,V5RC,12,Z
46V,2024-2025,V5RC,46,V
47629J,2024-2025,V5RC,47629,J
70220A,2024-2025,V5RC,70220,A
23301A,2024-2025,V5RC,23301,A
23301B,2024-2025,V5RC,23301,B
52427K,2024-2025,V5RC,52427,K
71999A,2024-2025,V5RC,71999,A
4061A,2024-2025,V5RC,4061,A
4061B,2024-2025,V5RC,4061,B
4061E,2024-2025,V5RC,4061,E
154A,2024-2025,V5RC,154,A
154B,2024-2025,V5RC,154,B
154C,2024-2025,V5RC,154,C
154D,2024-2025,V5RC,154,D
1575B,2024-2025,V5RC,1575,B
1575K,2024-2025,V5RC,1575,K
1575M,2024-2025,V5RC,1575,M
1575W,2024-2025,V5RC,1575,W
1575T,2024-2025,V5RC,1575,T
1575Y,2024-2025,V5RC,1575,Y
1575X,2024-2025,V5RC,1575,X
46B,2024-2025,V5RC,46,B
46N,2024-2025,V5RC,46,N
6479A,2024-2025,V5RC,6479,A
46A,2024-2025,V5RC,46,A
2872X,2024-2025,V5RC,2872,X
1895A,2024-2025,V5RC,1895,A
1895B,2024-2025,V5RC,1895,B
4343C,2024-2025,V5RC,4343,C
4343B,2024-2025,V5RC,4343,B
6479B,2024-2025,V5RC,6479,B
6479C,2024-2025,V5RC,6479,C
6479D,2024-2025,V5RC,6479,D
9883A,2024-2025,V5RC,9883,A
9883B,2024-2025,V5RC,9883,B
7886B,2024-2025,V5RC,7886,B
7886A,2024-2025,V5RC,7886,A
6603D,2024-2025,V5RC,6603,D
6603H,2024-2025,V5RC,6603,H
97265A,2024-2025,V5RC,97265,A
13150A,2024-2025,V5RC,13150,A
13150B,2024-2025,V5RC,13150,B
13150C,2024-2025,V5RC,13150,C
60023X,2024-2025,V5RC,60023,X
60023Y,2024-2025,V5RC,60023,Y
8113C,2024-2025,V5RC,8113,C
8113D,2024-2025,V5RC,8113,D
12B,2024-2025,V5RC,12,B
12F,2024-2025,V5RC,12,F
12S,2024-2025,V5RC,12,S
12X,2024-2025,V5RC,12,X
9121A,2024-2025,V5RC,9121,A
9121B,2024-2025,V5RC,9121,B
13150D,2024-2025,V5RC,13150,D
13150E,2024-2025,V5RC,13150,E
97987A,2024-2025,V5RC,97987,A
55134A,2024-2025,V5RC,55134,A
1575V,2024-2025,V5RC,1575,V
27638A,2024-2025,V5RC,27638,A
27638B,2024-2025,V5RC,27638,B
34495A,2024-2025,V5RC,34495,A
22192X,2024-2025,V5RC,22192,X
22192Z,2024-2025,V5RC,22192,Z
34495B,2024-2025,V5RC,34495,B
20102A,2024-2025,V5RC,20102,A
63975A,2024-2025,V5RC,63975,A
63975B,2024-2025,V5RC,63975,B
63975D,2024-2025,V5RC,63975,D
7122A,2024-2025,V5RC,7122,A
18391A,2024-2025,V5RC,18391,A
42075A,2024-2025,V5RC,42075,A
42075B,2024-2025,V5RC,42075,B
42075C,2024-2025,V5RC,42075,C
42075D,2024-2025,V5RC,42075,D
2068A,2024-2025,V5RC,2068,A
2068B,2024-2025,V5RC,2068,B
23430Z,2024-2025,V5RC,23430,Z
861A,2024-2025,V5RC,861,A
1895C,2024-2025,V5RC,1895,C
22101D,2024-2025,V5RC,22101,D
14294A,2024-2025,V5RC,14294,A
37458A,2024-2025,V5RC,37458,A
55134B,2024-2025,V5RC,55134,B
6975J,2024-2025,V5RC,6975,J
2430X,2024-2025,V5RC,2430,X
96639B,2024-2025,V5RC,96639,B
47372A,2024-2025,V5RC,47372,A
6975X,2024-2025,V5RC,6975,X
16949A,2024-2025,V5RC,16949,A
9883C,2024-2025,V5RC,9883,C
61105A,2024-2025,V5RC,61105,A